    IK  YW  IT  FS  PZ  SS  JE  AA  DS  HG  KI  CR  MD  SQ  YB  TX
IK  0   5   4   6   5   7   2   3   7   8   3   2   5   5   3   5
YW  5   0   9   3   9   2   6   2   4   6   8   7   2   10  8   3
IT  4   9   0   10  8   11  5   7   11  11  2   2   9   4   2   8
FS  6   3   10  0   6   5   6   3   5   3   9   8   3   11  9   3
PZ  5   9   8   6   0   11  3   8   11  3   8   6   9   10  6   6
SS  7   2   11  5   11  0   8   4   6   8   10  9   4   12  10  5
JE  2   6   5   6   3   8   0   5   8   6   5   3   6   7   3   3
AA  3   2   7   3   8   4   5   0   4   6   6   5   2   8   6   2
DS  7   4   11  5   11  6   8   4   0   8   10  9   2   12  10  5
HG  8   6   11  3   3   8   6   6   8   0   11  9   6   13  9   6
KI  3   8   2   9   8   10  5   6   10  11  0   2   8   2   2   8
CR  2   7   2   8   6   9   3   5   9   9   2   0   7   4   3   6
MD  5   2   9   3   9   4   6   2   2   6   8   7   0   10  8   3
SQ  5   10  4   11  10  12  7   8   12  13  2   4   10  0   4   10
YB  3   8   2   9   6   10  3   6   10  9   2   3   8   4   0   6
TX  5   3   8   3   6   5   3   2   5   6   8   6   3   10  6   0
